UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '1', '12', '17', '2019', '1', '12', '10', '42119.399000000005'
'2019', '1', '12', '18', '2019', '1', '12', '11', '20853.234629'
'2019', '1', '12', '19', '2019', '1', '12', '12', '21842.253366999998'
'2019', '1', '12', '20', '2019', '1', '12', '13', '36509.86143'
'2019', '1', '12', '21', '2019', '1', '12', '14', '42681.793018'
'2019', '1', '12', '22', '2019', '1', '12', '15', '6857.618469'
'2019', '1', '12', '23', '2019', '1', '12', '16', '1266.9799540000001'
'2019', '1', '13', '0', '2019', '1', '12', '17', '0.0'
'2019', '1', '13', '1', '2019', '1', '12', '18', '0.0'
'2019', '1', '13', '2', '2019', '1', '12', '19', '0.0'
'2019', '1', '13', '3', '2019', '1', '12', '20', '0.0'
'2019', '1', '13', '4', '2019', '1', '12', '21', '0.0'
'2019', '1', '13', '5', '2019', '1', '12', '22', '0.0'
'2019', '1', '13', '6', '2019', '1', '12', '23', '0.0'
'2019', '1', '13', '7', '2019', '1', '13', '0', '0.0'
'2019', '1', '13', '8', '2019', '1', '13', '1', '0.0'
'2019', '1', '13', '9', '2019', '1', '13', '2', '0.0'
'2019', '1', '13', '10', '2019', '1', '13', '3', '0.0'
'2019', '1', '13', '11', '2019', '1', '13', '4', '0.0'
'2019', '1', '13', '12', '2019', '1', '13', '5', '0.0'
'2019', '1', '13', '13', '2019', '1', '13', '6', '0.0'
'2019', '1', '13', '14', '2019', '1', '13', '7', '0.0'
'2019', '1', '13', '15', '2019', '1', '13', '8', '288.546063'
'2019', '1', '13', '16', '2019', '1', '13', '9', '26745.636920999998'
'2019', '1', '13', '17', '2019', '1', '13', '10', '64090.41097700001'
'2019', '1', '13', '18', '2019', '1', '13', '11', '56725.26225099999'
'2019', '1', '13', '19', '2019', '1', '13', '12', '44456.140453'
'2019', '1', '13', '20', '2019', '1', '13', '13', '50279.6785'
'2019', '1', '13', '21', '2019', '1', '13', '14', '60995.208172'
'2019', '1', '13', '22', '2019', '1', '13', '15', '32456.001844'
'2019', '1', '13', '23', '2019', '1', '13', '16', '6648.765703'
'2019', '1', '14', '0', '2019', '1', '13', '17', '0.0'
'2019', '1', '14', '1', '2019', '1', '13', '18', '0.0'
'2019', '1', '14', '2', '2019', '1', '13', '19', '0.0'
'2019', '1', '14', '3', '2019', '1', '13', '20', '0.0'
'2019', '1', '14', '4', '2019', '1', '13', '21', '0.0'
'2019', '1', '14', '5', '2019', '1', '13', '22', '0.0'
