UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '26', '7', '2019', '1', '26', '0', '0.0'
'2019', '1', '26', '8', '2019', '1', '26', '1', '0.0'
'2019', '1', '26', '9', '2019', '1', '26', '2', '0.0'
'2019', '1', '26', '10', '2019', '1', '26', '3', '0.0'
'2019', '1', '26', '11', '2019', '1', '26', '4', '0.0'
'2019', '1', '26', '12', '2019', '1', '26', '5', '0.0'
'2019', '1', '26', '13', '2019', '1', '26', '6', '0.0'
'2019', '1', '26', '14', '2019', '1', '26', '7', '0.0'
'2019', '1', '26', '15', '2019', '1', '26', '8', '0.0'
'2019', '1', '26', '16', '2019', '1', '26', '9', '0.13408656100000002'
'2019', '1', '26', '17', '2019', '1', '26', '10', '0.200521349'
'2019', '1', '26', '18', '2019', '1', '26', '11', '0.249601805'
'2019', '1', '26', '19', '2019', '1', '26', '12', '0.533882001'
'2019', '1', '26', '20', '2019', '1', '26', '13', '0.30987397299999997'
'2019', '1', '26', '21', '2019', '1', '26', '14', '0.11942659199999998'
'2019', '1', '26', '22', '2019', '1', '26', '15', '0.42079768900000003'
'2019', '1', '26', '23', '2019', '1', '26', '16', '0.40994629699999996'
'2019', '1', '27', '0', '2019', '1', '26', '17', '0.01416691'
'2019', '1', '27', '1', '2019', '1', '26', '18', '0.0'
'2019', '1', '27', '2', '2019', '1', '26', '19', '0.0'
'2019', '1', '27', '3', '2019', '1', '26', '20', '0.0'
'2019', '1', '27', '4', '2019', '1', '26', '21', '0.0'
'2019', '1', '27', '5', '2019', '1', '26', '22', '0.0'
'2019', '1', '27', '6', '2019', '1', '26', '23', '0.0'
'2019', '1', '27', '7', '2019', '1', '27', '0', '0.0'
'2019', '1', '27', '8', '2019', '1', '27', '1', '0.0'
'2019', '1', '27', '9', '2019', '1', '27', '2', '0.0'
'2019', '1', '27', '10', '2019', '1', '27', '3', '0.0'
'2019', '1', '27', '11', '2019', '1', '27', '4', '0.0'
'2019', '1', '27', '12', '2019', '1', '27', '5', '0.0'
'2019', '1', '27', '13', '2019', '1', '27', '6', '0.0'
'2019', '1', '27', '14', '2019', '1', '27', '7', '0.0'
'2019', '1', '27', '15', '2019', '1', '27', '8', '0.0'
'2019', '1', '27', '16', '2019', '1', '27', '9', '0.035380305'
'2019', '1', '27', '17', '2019', '1', '27', '10', '0.042066959'
'2019', '1', '27', '18', '2019', '1', '27', '11', '0.136255711'
'2019', '1', '27', '19', '2019', '1', '27', '12', '0.30151863300000004'
'2019', '1', '27', '20', '2019', '1', '27', '13', '0.334215781'
'2019', '1', '27', '21', '2019', '1', '27', '14', '0.353014235'
'2019', '1', '27', '22', '2019', '1', '27', '15', '0.247360953'
'2019', '1', '27', '23', '2019', '1', '27', '16', '0.048589489'
'2019', '1', '28', '0', '2019', '1', '27', '17', '0.002602919'
'2019', '1', '28', '1', '2019', '1', '27', '18', '0.0'
'2019', '1', '28', '2', '2019', '1', '27', '19', '0.0'
'2019', '1', '28', '3', '2019', '1', '27', '20', '0.0'
'2019', '1', '28', '4', '2019', '1', '27', '21', '0.0'
'2019', '1', '28', '5', '2019', '1', '27', '22', '0.0'
'2019', '1', '28', '6', '2019', '1', '27', '23', '0.0'
'2019', '1', '28', '7', '2019', '1', '28', '0', '0.0'
'2019', '1', '28', '8', '2019', '1', '28', '1', '0.0'
'2019', '1', '28', '9', '2019', '1', '28', '2', '0.0'
'2019', '1', '28', '10', '2019', '1', '28', '3', '0.0'
'2019', '1', '28', '11', '2019', '1', '28', '4', '0.0'
'2019', '1', '28', '12', '2019', '1', '28', '5', '0.0'
'2019', '1', '28', '13', '2019', '1', '28', '6', '0.0'
'2019', '1', '28', '14', '2019', '1', '28', '7', '0.0'
'2019', '1', '28', '15', '2019', '1', '28', '8', '0.0'
'2019', '1', '28', '16', '2019', '1', '28', '9', '0.015320167'
'2019', '1', '28', '17', '2019', '1', '28', '10', '0.114205641'
'2019', '1', '28', '18', '2019', '1', '28', '11', '0.312716867'
'2019', '1', '28', '19', '2019', '1', '28', '12', '0.58364925'
'2019', '1', '28', '20', '2019', '1', '28', '13', '0.5491206719999999'
'2019', '1', '28', '21', '2019', '1', '28', '14', '0.6185819850000001'
