UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '12', '14', '6', '2019', '12', '14', '1', '0.0'
'2019', '12', '14', '7', '2019', '12', '14', '2', '0.0'
'2019', '12', '14', '8', '2019', '12', '14', '3', '0.0'
'2019', '12', '14', '9', '2019', '12', '14', '4', '0.0'
'2019', '12', '14', '10', '2019', '12', '14', '5', '0.0'
'2019', '12', '14', '11', '2019', '12', '14', '6', '0.0'
'2019', '12', '14', '12', '2019', '12', '14', '7', '0.0'
'2019', '12', '14', '13', '2019', '12', '14', '8', '29697.576630000007'
'2019', '12', '14', '14', '2019', '12', '14', '9', '82365.12784500001'
'2019', '12', '14', '15', '2019', '12', '14', '10', '98585.59778299998'
'2019', '12', '14', '16', '2019', '12', '14', '11', '93942.65753299999'
'2019', '12', '14', '17', '2019', '12', '14', '12', '81577.99365800004'
'2019', '12', '14', '18', '2019', '12', '14', '13', '93669.161844'
'2019', '12', '14', '19', '2019', '12', '14', '14', '102615.93856299997'
'2019', '12', '14', '20', '2019', '12', '14', '15', '56574.68117899997'
'2019', '12', '14', '21', '2019', '12', '14', '16', '6758.112228'
'2019', '12', '14', '22', '2019', '12', '14', '17', '737.067188'
'2019', '12', '14', '23', '2019', '12', '14', '18', '0.0'
'2019', '12', '15', '0', '2019', '12', '14', '19', '0.0'
'2019', '12', '15', '1', '2019', '12', '14', '20', '0.0'
'2019', '12', '15', '2', '2019', '12', '14', '21', '0.0'
'2019', '12', '15', '3', '2019', '12', '14', '22', '0.0'
'2019', '12', '15', '4', '2019', '12', '14', '23', '0.0'
'2019', '12', '15', '5', '2019', '12', '15', '0', '0.0'
'2019', '12', '15', '6', '2019', '12', '15', '1', '0.0'
'2019', '12', '15', '7', '2019', '12', '15', '2', '0.0'
'2019', '12', '15', '8', '2019', '12', '15', '3', '0.0'
'2019', '12', '15', '9', '2019', '12', '15', '4', '0.0'
'2019', '12', '15', '10', '2019', '12', '15', '5', '0.0'
'2019', '12', '15', '11', '2019', '12', '15', '6', '0.0'
'2019', '12', '15', '12', '2019', '12', '15', '7', '0.0'
'2019', '12', '15', '13', '2019', '12', '15', '8', '17270.083282000003'
'2019', '12', '15', '14', '2019', '12', '15', '9', '64106.419406'
'2019', '12', '15', '15', '2019', '12', '15', '10', '78749.684784'
'2019', '12', '15', '16', '2019', '12', '15', '11', '79908.52606599998'
'2019', '12', '15', '17', '2019', '12', '15', '12', '89007.90412600001'
'2019', '12', '15', '18', '2019', '12', '15', '13', '93575.71428399997'
'2019', '12', '15', '19', '2019', '12', '15', '14', '90792.48564400001'
'2019', '12', '15', '20', '2019', '12', '15', '15', '58144.157986'
'2019', '12', '15', '21', '2019', '12', '15', '16', '4144.544464999999'
'2019', '12', '15', '22', '2019', '12', '15', '17', '4492.1445'
'2019', '12', '15', '23', '2019', '12', '15', '18', '0.0'
